,Product_url,Product_name,Product_price,Ratings,Number of reviews
33,/sspa/click?ie=UTF8&spc=MTozMTgzNjYyNzYwMTE4MTk4OjE2NzU0MTczODA6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675417380%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,DEIN KLEIDER Men's Nylon Messenger Bag,699,4.2 out of 5 stars,495
34,/sspa/click?ie=UTF8&spc=MTozMTgzNjYyNzYwMTE4MTk4OjE2NzU0MTczODA6c3BfYXRmOjIwMTE2Njk3MTgxNzk4OjowOjo&url=%2FTabelito%25C2%25AE-Waterproof-Backpack-Business-Compatible%2Fdp%2FB0BML78XD8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675417380%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),"1,247",4.3 out of 5 stars,"7,643"
35,/sspa/click?ie=UTF8&spc=MTozMTgzNjYyNzYwMTE4MTk4OjE2NzU0MTczODA6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675417380%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),899,4.6 out of 5 stars,145
36,/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-3,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)",839,4 Stars & Up,38
37,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-4,Sfane polyester 23 cms Duffle Bag(BG - 05 HALF LTSHOE COMPTT_grey),849,3 Stars & Up,684
38,/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-5,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",999,2 Stars & Up,"51,370"
39,/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-6,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping","1,448",1 Star & Up,"9,226"
40,/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-7,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,424",4.9 out of 5 stars,462
41,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-8,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,"12,399",3.9 out of 5 stars,"2,659"
42,/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675417380&sprefix=ba%2Caps%2C283&sr=8-9,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","5,590.",4.1 out of 5 stars,"3,368"
